PWM,Distancia_cm
Iniciando varredura PWM...
PWM,Distancia_cm
140,48.00
140,47.00
140,48.00
140,46.00
140,51.00
140,50.00
140,53.00
140,48.00
140,48.00
140,45.00
141,46.00
141,46.00
141,47.00
141,45.00
141,51.00
141,47.00
141,48.00
141,45.00
141,49.00
141,46.00
142,46.00
142,45.00
142,44.00
142,45.00
142,46.00
142,46.00
142,48.00
142,45.00
142,44.00
142,49.00
143,45.00
143,48.00
143,49.00
143,45.00
143,47.00
143,46.00
143,45.00
143,44.00
143,48.00
143,48.00
144,45.00
144,46.00
144,45.00
144,47.00
144,44.00
144,47.00
144,44.00
144,45.00
144,45.00
144,45.00
145,46.00
145,48.00
145,44.00
145,46.00
145,44.00
145,49.00
145,45.00
145,44.00
145,48.00
145,47.00
146,45.00
146,45.00
146,47.00
146,44.00
146,44.00
146,52.00
146,46.00
146,46.00
146,46.00
146,45.00
147,45.00
147,48.00
147,44.00
147,45.00
147,45.00
147,45.00
147,45.00
147,45.00
147,46.00
147,46.00
148,45.00
148,45.00
148,46.00
148,44.00
148,48.00
148,46.00
148,45.00
148,44.00
148,45.00
148,46.00
149,46.00
149,54.00
149,44.00
149,46.00
149,42.00
149,44.00
149,49.00
149,44.00
149,42.00
149,42.00
150,30.00
150,33.00
150,30.00
150,35.00
150,30.00
150,30.00
150,30.00
150,33.00
150,31.00
150,38.00
151,34.00
151,36.00
151,33.00
151,32.00
151,41.00
151,34.00
151,33.00
151,36.00
151,32.00
151,33.00
152,34.00
152,32.00
152,31.00
152,32.00
152,35.00
152,31.00
152,36.00
152,33.00
152,31.00
152,34.00
153,34.00
153,33.00
153,34.00
153,42.00
153,35.00
153,32.00
153,35.00
153,35.00
153,33.00
153,32.00
154,41.00
154,38.00
154,33.00
154,39.00
154,37.00
154,36.00
154,36.00
154,39.00
154,35.00
154,34.00
155,34.00
155,35.00
155,34.00
155,35.00
155,33.00
155,36.00
155,34.00
155,36.00
155,33.00
155,34.00
156,36.00
156,35.00
156,35.00
156,36.00
156,33.00
156,33.00
156,34.00
156,37.00
156,33.00
156,33.00
157,34.00
157,39.00
157,36.00
157,35.00
157,36.00
157,37.00
157,40.00
157,34.00
157,37.00
157,40.00
158,33.00
158,33.00
158,39.00
158,37.00
158,34.00
158,34.00
158,35.00
158,35.00
158,33.00
158,39.00
159,35.00
159,33.00
159,38.00
159,36.00
159,33.00
159,35.00
159,34.00
159,37.00
159,41.00
159,34.00
160,35.00
160,33.00
160,35.00
160,33.00
160,33.00
160,35.00
160,44.00
160,35.00
160,33.00
160,41.00
161,36.00
161,33.00
161,37.00
161,34.00
161,34.00
161,41.00
161,32.00
161,31.00
161,32.00
161,33.00
162,32.00
162,34.00
162,33.00
162,34.00
162,33.00
162,33.00
162,34.00
162,33.00
162,35.00
162,33.00
163,39.00
163,31.00
163,32.00
163,31.00
163,36.00
163,33.00
163,31.00
163,45.00
163,30.00
163,33.00
164,30.00
164,32.00
164,33.00
164,34.00
164,33.00
164,34.00
164,32.00
164,35.00
164,31.00
164,37.00
165,36.00
165,31.00
165,32.00
165,31.00
165,33.00
165,33.00
165,32.00
165,34.00
165,37.00
165,31.00
166,30.00
166,34.00
166,32.00
166,33.00
166,31.00
166,32.00
166,31.00
166,31.00
166,31.00
166,33.00
167,33.00
167,31.00
167,35.00
167,33.00
167,33.00
167,32.00
167,39.00
167,32.00
167,31.00
167,32.00
168,40.00
168,33.00
168,32.00
168,32.00
168,33.00
168,32.00
168,34.00
168,33.00
168,38.00
168,39.00
169,32.00
169,35.00
169,31.00
169,35.00
169,32.00
169,32.00
169,33.00
169,31.00
169,32.00
169,31.00
170,30.00
170,32.00
170,32.00
170,32.00
170,33.00
170,34.00
170,31.00
170,32.00
170,35.00
170,31.00
171,35.00
171,30.00
171,31.00
171,31.00
171,34.00
171,31.00
171,30.00
171,31.00
171,32.00
171,42.00
172,33.00
172,33.00
172,33.00
172,30.00
172,30.00
172,28.00
172,31.00
172,29.00
172,31.00
172,36.00
173,28.00
173,26.00
173,30.00
173,41.00
173,28.00
173,27.00
173,36.00
173,28.00
173,30.00
173,31.00
174,26.00
174,24.00
174,27.00
174,26.00
174,24.00
174,26.00
174,25.00
174,31.00
174,25.00
174,24.00
175,26.00
175,26.00
175,22.00
175,24.00
175,28.00
175,22.00
175,23.00
175,28.00
175,23.00
175,27.00
176,26.00
176,23.00
176,24.00
176,23.00
176,25.00
176,24.00
176,24.00
176,27.00
176,24.00
176,23.00
177,20.00
177,21.00
177,19.00
177,21.00
177,24.00
177,20.00
177,24.00
177,22.00
177,21.00
177,23.00
178,17.00
178,22.00
178,23.00
178,20.00
178,21.00
178,18.00
178,19.00
178,18.00
178,23.00
178,17.00
179,17.00
179,15.00
179,13.00
179,14.00
179,15.00
179,14.00
179,18.00
179,14.00
179,14.00
179,17.00
180,11.00
180,31.00
180,11.00
180,12.00
180,11.00
180,12.00
180,11.00
180,15.00
180,14.00
180,16.00
181,20.00
181,11.00
181,12.00
181,13.00
181,9.00
181,14.00
181,12.00
181,49.00
181,50.00
181,16.00
182,11.00
182,12.00
182,49.00
182,8.00
182,10.00
182,10.00
182,13.00
182,9.00
182,11.00
182,10.00
183,11.00
183,12.00
183,14.00
183,35.00
183,12.00
183,49.00
183,11.00
183,12.00
183,50.00
183,12.00
184,15.00
184,12.00
184,48.00
184,51.00
184,14.00
184,16.00
184,14.00
184,14.00
184,12.00
184,12.00
185,12.00
185,8.00
185,18.00
185,21.00
185,14.00
185,49.00
185,14.00
185,48.00
185,12.00
185,13.00
