PWM,Distancia_cm
140,32.00
140,31.00
140,31.00
140,32.00
140,31.00
140,31.00
140,31.00
140,31.00
140,31.00
140,33.00
141,38.00
141,35.00
141,34.00
141,34.00
141,33.00
141,32.00
141,33.00
141,33.00
141,34.00
141,33.00
142,35.00
142,35.00
142,37.00
142,36.00
142,35.00
142,34.00
142,36.00
142,37.00
142,36.00
142,35.00
143,37.00
143,36.00
143,36.00
143,34.00
143,37.00
143,36.00
143,35.00
143,38.00
143,36.00
143,36.00
144,35.00
144,37.00
144,37.00
144,35.00
144,36.00
144,34.00
144,35.00
144,36.00
144,36.00
144,38.00
145,37.00
145,35.00
145,35.00
145,37.00
145,36.00
145,36.00
145,35.00
145,36.00
145,37.00
145,37.00
146,39.00
146,36.00
146,35.00
146,36.00
146,34.00
146,41.00
146,34.00
146,37.00
146,35.00
146,34.00
147,36.00
147,36.00
147,37.00
147,37.00
147,35.00
147,36.00
147,36.00
147,37.00
147,35.00
147,35.00
148,35.00
148,36.00
148,35.00
148,35.00
148,37.00
148,37.00
148,37.00
148,36.00
148,36.00
148,36.00
149,38.00
149,37.00
149,37.00
149,35.00
149,36.00
149,36.00
149,36.00
149,34.00
149,38.00
149,36.00
150,35.00
150,36.00
150,36.00
150,37.00
150,33.00
150,40.00
150,36.00
150,35.00
150,34.00
150,37.00
151,34.00
151,35.00
151,34.00
151,36.00
151,35.00
151,37.00
151,38.00
151,37.00
151,35.00
151,36.00
152,36.00
152,34.00
152,35.00
152,39.00
152,42.00
152,36.00
152,38.00
152,34.00
152,34.00
152,35.00
153,34.00
153,33.00
153,36.00
153,35.00
153,35.00
153,35.00
153,35.00
153,36.00
153,35.00
153,34.00
154,36.00
154,35.00
154,33.00
154,34.00
154,37.00
154,34.00
154,34.00
154,35.00
154,36.00
154,35.00
155,34.00
155,34.00
155,36.00
155,37.00
155,35.00
155,34.00
155,34.00
155,35.00
155,34.00
155,36.00
156,35.00
156,35.00
156,34.00
156,35.00
156,33.00
156,37.00
156,36.00
156,36.00
156,34.00
156,34.00
157,33.00
157,35.00
157,34.00
157,34.00
157,38.00
157,34.00
157,39.00
157,35.00
157,37.00
157,34.00
158,35.00
158,36.00
158,34.00
158,38.00
158,41.00
158,37.00
158,34.00
158,34.00
158,36.00
158,34.00
159,35.00
159,35.00
159,36.00
159,36.00
159,34.00
159,36.00
159,34.00
159,35.00
159,34.00
159,42.00
160,35.00
160,36.00
160,34.00
160,42.00
160,33.00
160,35.00
160,34.00
160,46.00
160,33.00
160,44.00
161,37.00
161,34.00
161,36.00
161,33.00
161,34.00
161,37.00
161,33.00
161,34.00
161,37.00
161,34.00
162,35.00
162,35.00
162,33.00
162,33.00
162,33.00
162,36.00
162,34.00
162,35.00
162,36.00
162,36.00
163,35.00
163,31.00
163,32.00
163,32.00
163,32.00
163,37.00
163,36.00
163,32.00
163,32.00
163,32.00
164,32.00
164,32.00
164,32.00
164,32.00
164,32.00
164,36.00
164,33.00
164,33.00
164,32.00
164,31.00
165,31.00
165,37.00
165,32.00
165,31.00
165,32.00
165,35.00
165,32.00
165,30.00
165,31.00
165,30.00
166,31.00
166,30.00
166,29.00
166,31.00
166,30.00
166,33.00
166,31.00
166,31.00
166,32.00
166,31.00
167,31.00
167,33.00
167,31.00
167,31.00
167,32.00
167,29.00
167,33.00
167,32.00
167,31.00
167,31.00
168,31.00
168,32.00
168,29.00
168,28.00
168,27.00
168,31.00
168,28.00
168,28.00
168,29.00
168,32.00
169,28.00
169,32.00
169,24.00
169,34.00
169,24.00
169,28.00
169,28.00
169,29.00
169,25.00
169,27.00
170,35.00
170,29.00
170,28.00
170,24.00
170,28.00
170,29.00
170,24.00
170,26.00
170,22.00
170,26.00
171,20.00
171,31.00
171,25.00
171,22.00
171,36.00
171,21.00
171,23.00
171,30.00
171,20.00
171,22.00
172,23.00
172,19.00
172,29.00
172,19.00
172,20.00
172,26.00
172,22.00
172,19.00
172,19.00
172,22.00
173,19.00
173,22.00
173,21.00
173,21.00
173,24.00
173,19.00
173,19.00
173,22.00
173,18.00
173,21.00
174,19.00
174,21.00
174,16.00
174,20.00
174,29.00
174,14.00
174,20.00
174,19.00
174,16.00
174,20.00
175,11.00
175,16.00
175,15.00
175,15.00
175,13.00
175,14.00
175,12.00
175,16.00
175,19.00
175,13.00
175,12.00
175,15.00
175,11.00
175,14.00
175,11.00
175,11.00
175,12.00
175,13.00
175,18.00
175,16.00
174,9.00
174,14.00
174,13.00
174,12.00
174,12.00
174,12.00
174,14.00
174,12.00
174,17.00
174,9.00
173,14.00
173,12.00
173,8.00
173,10.00
173,14.00
173,12.00
173,20.00
173,13.00
173,8.00
173,14.00
172,13.00
172,14.00
172,12.00
172,15.00
172,15.00
172,11.00
172,10.00
172,14.00
172,12.00
172,15.00
171,14.00
171,11.00
171,14.00
171,11.00
171,14.00
171,11.00
171,12.00
171,12.00
171,14.00
171,11.00
170,14.00
170,14.00
170,12.00
170,11.00
170,11.00
170,10.00
170,18.00
170,14.00
170,11.00
170,9.00
169,13.00
169,12.00
169,11.00
169,10.00
169,13.00
169,15.00
169,15.00
169,14.00
169,14.00
169,15.00
168,12.00
168,7.00
168,9.00
168,11.00
168,7.00
168,7.00
168,13.00
168,7.00
168,13.00
168,45.00
167,12.00
167,12.00
167,13.00
167,13.00
167,11.00
167,10.00
167,10.00
167,13.00
167,11.00
167,14.00
166,15.00
166,9.00
166,11.00
166,10.00
166,9.00
166,15.00
166,13.00
166,14.00
166,11.00
166,10.00
165,15.00
165,19.00
165,10.00
165,14.00
165,18.00
165,12.00
165,12.00
165,14.00
165,12.00
