PWM,Distancia_cm
175,16.00
175,12.00
175,14.00
175,18.00
175,13.00
175,16.00
175,18.00
175,16.00
175,16.00
175,16.00
174,12.00
174,23.00
174,16.00
174,11.00
174,11.00
174,9.00
174,26.00
174,8.00
174,17.00
174,20.00
173,10.00
173,15.00
173,12.00
173,26.00
173,10.00
173,9.00
173,12.00
173,12.00
173,10.00
173,11.00
172,14.00
172,12.00
172,14.00
172,24.00
172,12.00
172,10.00
172,11.00
172,11.00
172,15.00
172,14.00
171,16.00
171,14.00
171,10.00
171,15.00
171,11.00
171,10.00
171,15.00
171,12.00
171,13.00
171,20.00
170,13.00
170,12.00
170,11.00
170,14.00
170,11.00
170,9.00
170,12.00
170,13.00
170,12.00
170,23.00
169,24.00
169,13.00
169,18.00
169,9.00
169,19.00
169,16.00
169,13.00
169,14.00
169,11.00
169,9.00
168,16.00
168,10.00
168,15.00
168,29.00
168,15.00
168,15.00
168,22.00
168,14.00
168,15.00
168,13.00
167,14.00
167,14.00
167,23.00
167,10.00
167,10.00
167,14.00
167,16.00
167,15.00
167,14.00
167,14.00
166,15.00
166,11.00
166,12.00
166,13.00
166,14.00
166,10.00
166,15.00
166,18.00
166,12.00
166,14.00
165,18.00
165,12.00
165,15.00
165,18.00
165,16.00
165,14.00
165,12.00
165,14.00
165,19.00
165,14.00
164,16.00
164,12.00
164,15.00
164,16.00
164,15.00
164,18.00
164,14.00
164,16.00
164,17.00
164,11.00
163,23.00
163,14.00
163,16.00
163,16.00
163,14.00
163,16.00
163,14.00
163,12.00
163,14.00
163,15.00
162,13.00
162,11.00
162,18.00
162,18.00
162,17.00
162,12.00
162,15.00
162,15.00
162,17.00
162,12.00
161,17.00
161,14.00
161,19.00
161,13.00
161,16.00
161,12.00
161,12.00
161,15.00
161,15.00
161,15.00
160,13.00
160,15.00
160,14.00
160,15.00
160,15.00
160,13.00
160,15.00
160,13.00
160,16.00
160,25.00
159,16.00
159,12.00
159,14.00
159,22.00
159,15.00
159,18.00
159,15.00
159,11.00
159,15.00
159,15.00
158,12.00
158,18.00
158,10.00
158,20.00
158,14.00
158,17.00
158,14.00
158,17.00
158,13.00
158,15.00
157,12.00
157,15.00
157,12.00
157,11.00
157,14.00
157,15.00
157,14.00
157,16.00
157,13.00
157,13.00
156,21.00
156,14.00
156,17.00
156,11.00
156,28.00
156,14.00
156,14.00
156,16.00
156,14.00
156,14.00
155,11.00
155,11.00
155,14.00
155,15.00
155,15.00
155,12.00
155,15.00
155,14.00
155,13.00
155,18.00
154,18.00
154,15.00
154,14.00
154,12.00
154,21.00
154,15.00
154,11.00
154,17.00
154,19.00
154,13.00
153,26.00
153,12.00
153,17.00
153,13.00
153,16.00
153,22.00
153,16.00
153,16.00
153,15.00
153,12.00
152,15.00
152,12.00
152,15.00
152,13.00
152,15.00
152,14.00
152,12.00
152,14.00
152,16.00
152,13.00
151,11.00
151,19.00
151,12.00
151,11.00
151,18.00
151,12.00
151,16.00
151,16.00
151,20.00
151,17.00
150,16.00
150,13.00
150,16.00
150,15.00
150,17.00
150,23.00
150,13.00
150,18.00
150,12.00
150,16.00
149,15.00
149,18.00
149,21.00
149,13.00
149,17.00
149,18.00
149,13.00
149,15.00
149,18.00
149,15.00
148,16.00
148,18.00
148,18.00
148,17.00
148,15.00
148,21.00
148,16.00
148,18.00
148,18.00
148,14.00
147,23.00
147,18.00
147,16.00
147,20.00
147,24.00
147,18.00
147,21.00
147,22.00
147,16.00
147,19.00
146,20.00
146,22.00
146,18.00
146,19.00
146,23.00
146,28.00
146,22.00
146,23.00
146,20.00
146,18.00
145,17.00
145,19.00
145,19.00
145,19.00
145,19.00
145,18.00
145,25.00
145,18.00
145,23.00
145,19.00
144,23.00
144,23.00
144,19.00
144,18.00
144,18.00
144,20.00
144,19.00
144,20.00
144,17.00
144,25.00
143,22.00
143,21.00
143,20.00
143,20.00
143,30.00
143,24.00
143,22.00
143,24.00
143,19.00
143,20.00
142,21.00
142,22.00
142,24.00
142,21.00
142,24.00
142,24.00
142,24.00
142,23.00
142,24.00
142,25.00
141,22.00
141,22.00
141,21.00
141,24.00
141,22.00
141,21.00
141,24.00
141,32.00
141,25.00
141,22.00
140,29.00
140,22.00
140,22.00
140,27.00
140,23.00
140,32.00
140,23.00
140,22.00
140,24.00
140,32.00
